"CODE";"BOROUGH";"YEAR";"VAL_01_AGE";"VAR_01_AGE";"IND_01_AGE";"VAL_02_RACE_WHITE";"VAR_02_RACE_WHITE";"IND_02_RACE_WHITE";"VAL_03_WEEK_EARNINGS";"VAR_03_WEEK_EARNINGS";"IND_03_WEEK_EARNINGS";"VAL_04_PERCENT_NVQ4";"VAR_04_PERCENT_NVQ4";"IND_04_PERCENT_NVQ4";"VAL_05_CAR_TRAFFIC";"VAR_05_CAR_TRAFFIC";"IND_05_CAR_TRAFFIC";"VAL_06_EXP_LIFE";"VAR_06_EXP_LIFE";"IND_06_EXP_LIFE";"VAL_07_CRIMES";"VAR_07_CRIMES";"IND_07_CRIMES";"VAL_08_SERVICES";"VAR_08_SERVICES";"IND_08_SERVICES";"VAL_09_HOUSE_PRICE";"VAR_09_HOUSE_PRICE";"IND_09_HOUSE_PRICE";"VAL_10_HOUSE_RENT";"VAR_10_HOUSE_RENT";"IND_10_HOUSE_RENT"
"E09000014";"Haringey";2001;47,34;0;0;65,82;0;0;384,9;0;0;35,3;0;0;499;0;0;77,19;0;0;3138,42;0;0;1440;0;0;165127,04;0;0;61,93;0;0
"E09000014";"Haringey";2011;42,49;-1,075;-0,3412;60,55;-0,8311;0,5158;471,8;2,2877;-0,0285;50,4;5,2189;0,0158;425;-1,5924;-1,4271;81,1;0,6196;0,3657;2053,42;-4,1534;-0,4441;1595;1,2861;0,3511;326468,34;7,0538;0,1379;96,07;4,4885;-0,0072
"E09000014";"Haringey";2021;47,17;1,0504;0,7322;62,42;0,3046;1,4391;546;1,4714;-0,1501;56,2;1,0952;-0,5883;376;-1,2175;-0,1698;81,1;0;-1;2356,17;1,3848;6,6731;2235;3,4312;-0,0775;550657,92;5,3669;-0,0385;121,16;2,3475;0,0193
"E09000014";"Haringey";2031;46,97;-0,0425;-1,21;63,23;0,129;1,3611;589,15;0,7635;-0,6637;56,2;0;-1;406;0,7706;-0,2907;82,2;0,1348;2,3671;2472,87;0,4846;-0,5474;2761;2,136;0,6032;667465,06;1,9424;-0,0973;154,26;2,4447;0,0284
"E09000015";"Harrow";2001;46,59;0;0;58,62;0;0;378,1;0;0;33,6;0;0;556;0;0;80,62;0;0;1518,08;0;0;1335;0;0;170250,17;0;0;66,5;0;0
"E09000015";"Harrow";2011;43,77;-0,6224;0,2235;42,22;-3,2286;-0,881;487,7;2,8686;0,2182;43,3;3,6897;-0,2818;545;-0,1996;0,6958;83,18;0,3915;-0,1371;1138,42;-2,837;0,0136;1495;1,425;0,497;296477,73;5,7038;-0,0799;105,7;4,7431;0,0491
"E09000015";"Harrow";2021;46,29;0,5613;-0,0744;35,58;-1,6965;-1,4456;580,2;1,7519;0,012;57,7;2,9127;0,095;493;-0,9978;0,0413;83,04;-0,0168;-1,6829;1224,58;0,7322;3,9996;2025;3,0809;-0,1716;489382,17;5,1394;-0,0793;133,37;2,3525;0,0215
"E09000015";"Harrow";2031;46,46;0,0367;-0,8187;32,43;-0,9227;-1,5831;624,11;0,7322;-0,6775;57,7;0;-1;538;0,8773;-0,1925;81,24;-0,2189;-1,2201;1288,52;0,5103;-0,5234;2516;2,1947;0,6473;611964,6;2,2605;0,0505;169,61;2,4329;0,0234
"E09000016";"Havering";2001;46,15;0;0;94,97;0;0;385,1;0;0;12;0;0;1190;0;0;78,78;0;0;1822,33;0;0;1305;0;0;124071,4;0;0;64,47;0;0
"E09000016";"Havering";2011;44,09;-0,4556;0,4316;87,64;-0,8;0,5339;505,3;3,0643;0,3014;18,9;6,7045;0,305;1231;0,3393;1,5171;81,25;0,3866;-0,1479;1415,33;-2,4959;0,1322;1380;0,701;-0,2636;219558,76;5,8737;-0,0525;95,57;4,0151;-0,1119
